displ,cyl,city,hwy,comb,asp,trans,gears,lockup,drive,intakevalves,exhaustvalves,cyldeact,vvt,vvl
3,6,19,27,22,SC,SA,8,Y,R,2,2,N,Y,N
3,6,18,26,21,SC,SA,8,Y,A,2,2,N,Y,N
3,6,18,26,21,SC,SA,8,Y,A,2,2,N,Y,N
3,6,16,24,19,SC,M,6,N,R,2,2,N,Y,N
3,6,16,24,19,SC,M,6,N,R,2,2,N,Y,N
3,6,15,24,18,SC,M,6,N,R,2,2,N,Y,N
3,6,15,24,18,SC,M,6,N,R,2,2,N,Y,N
2,4,23,30,26,TC,SA,8,Y,R,2,2,N,Y,N
2,4,23,30,26,TC,SA,8,Y,R,2,2,N,Y,N
5,8,16,21,18,SC,SA,8,Y,4,2,2,N,Y,N
5,8,16,21,18,SC,SA,8,Y,4,2,2,N,Y,N
5,8,14,19,16,SC,SA,8,Y,4,2,2,N,Y,N
5,8,13,19,15,SC,SA,8,Y,4,2,2,N,Y,N
2,4,25,34,28,TC,SA,8,Y,R,2,2,N,Y,N
2,4,23,31,26,TC,SA,8,Y,R,2,2,N,Y,N
3,6,20,29,23,SC,SA,8,Y,R,2,2,N,Y,N
3,6,20,28,23,SC,SA,8,Y,A,2,2,N,Y,N
2,4,23,33,27,TC,SA,8,Y,A,2,2,N,Y,N
2,4,31,42,35,TC,SA,8,Y,R,2,2,N,Y,N
2,4,30,40,34,TC,SA,8,Y,A,2,2,N,Y,N
2,4,22,31,25,TC,SA,8,Y,A,2,2,N,Y,N
3,6,18,25,21,SC,SA,8,Y,A,2,2,N,Y,N
5,8,15,23,18,SC,SA,8,Y,R,2,2,N,Y,N
5,8,15,23,18,SC,SA,8,Y,R,2,2,N,Y,N
3,6,18,27,21,SC,SA,8,Y,R,2,2,N,Y,N
3,6,17,26,20,SC,SA,8,Y,A,2,2,N,Y,N
3,6,17,25,20,SC,SA,8,Y,A,2,2,N,Y,N
3,6,18,27,21,SC,SA,8,Y,R,2,2,N,Y,N
5,8,17,22,19,SC,SA,8,Y,4,2,2,N,Y,N
5,8,15,20,16,SC,SA,8,Y,4,2,2,N,Y,N
2,4,21,28,24,TC,SA,9,Y,A,2,2,N,Y,N
2,4,21,27,23,TC,SA,9,Y,A,2,2,N,Y,N
2,4,21,25,22,TC,SA,9,Y,A,2,2,N,Y,N
2,4,20,25,22,TC,SA,9,Y,A,2,2,N,Y,N
3,6,18,24,20,SC,SA,8,Y,A,2,2,N,Y,N
2,4,26,30,28,TC,SA,8,Y,A,2,2,N,Y,N
2,4,21,27,23,TC,SA,8,Y,A,2,2,N,Y,N
2,4,25,34,28,TC,SA,8,Y,R,2,2,N,Y,N
3,6,18,23,20,SC,SA,8,Y,A,2,2,N,Y,N
2,4,26,33,29,TC,SA,8,Y,A,2,2,N,Y,N
3,6,21,30,24,SC,SA,8,Y,R,2,2,N,Y,N
3,6,20,29,23,SC,SA,8,Y,A,2,2,N,Y,N
2,4,32,42,36,TC,SA,8,Y,R,2,2,N,Y,N
2,4,30,40,34,TC,SA,8,Y,A,2,2,N,Y,N
2,4,24,32,27,TC,SA,8,Y,R,2,2,N,Y,N
2,4,22,27,24,TC,SA,8,Y,A,2,2,N,Y,N
2,4,22,27,24,TC,SA,8,Y,A,2,2,N,Y,N
2,4,24,34,28,TC,SA,8,Y,A,2,2,N,Y,N
2,4,22,30,25,TC,SA,8,Y,A,2,2,N,Y,N
2.4,4,21,25,23,NAT,SA,6,Y,A,2,2,N,Y,N
3.3,6,18,25,21,NAT,SA,6,Y,A,2,2,N,Y,N
3.3,6,18,25,20,NAT,SA,6,Y,F,2,2,N,Y,N
2.4,4,21,25,22,NAT,SA,6,Y,A,2,2,N,Y,N
2.4,4,21,28,24,NAT,SA,6,Y,F,2,2,N,Y,N
2,4,19,25,22,TC,SA,6,Y,A,2,2,N,Y,N
2,4,20,27,23,TC,SA,6,Y,F,2,2,N,Y,N
2,4,22,31,25,TC,SA,6,Y,F,2,2,N,Y,N
2.4,4,24,34,28,NAT,SA,6,Y,F,2,2,N,Y,N
2.4,4,25,36,29,NAT,SA,6,Y,F,2,2,N,Y,N
2.4,4,22,29,25,NAT,SA,6,Y,F,2,2,N,Y,N
3.3,6,17,23,19,NAT,SA,6,Y,A,2,2,N,Y,N
2.4,4,23,30,26,NAT,SA,6,Y,F,2,2,N,Y,N
2.4,4,21,25,22,NAT,SA,6,Y,A,2,2,N,Y,N
2,4,21,26,23,TC,SA,6,Y,F,2,2,N,Y,N
2,4,20,23,21,TC,SA,6,Y,A,2,2,N,Y,N
5,8,15,23,18,NAT,SA,8,Y,R,2,2,N,Y,N
3.8,6,17,25,20,NAT,SA,8,Y,R,2,2,N,Y,N
1.6,4,25,30,27,NAT,SA,6,Y,F,2,2,N,Y,N
1.6,4,24,30,27,NAT,M,6,N,F,2,2,N,Y,N
1.6,4,26,31,28,TC,AM,7,N,F,2,2,N,Y,N
2,4,25,30,27,NAT,SA,6,Y,F,2,2,N,Y,N
3.3,6,18,24,20,NAT,SA,6,Y,F,2,2,N,Y,N
3.3,6,18,25,21,NAT,SA,6,Y,F,2,2,N,Y,N
3.3,6,17,22,19,NAT,SA,6,Y,F,2,2,N,Y,N
1.6,4,28,37,31,TC,AM,7,N,F,2,2,N,Y,N
1.6,4,28,37,32,NAT,SA,6,Y,F,2,2,N,Y,N
1.6,4,29,37,32,NAT,M,6,N,F,2,2,N,Y,N
2,4,29,37,32,NAT,SA,6,Y,F,2,2,N,Y,N
2,4,25,34,28,NAT,M,6,N,F,2,2,N,Y,N
2,4,25,33,28,NAT,SA,6,Y,F,2,2,N,Y,N
2,4,25,34,28,NAT,SA,6,Y,F,2,2,N,Y,N
1.6,4,25,30,27,TC,AM,7,N,F,2,2,N,Y,N
1.6,4,23,29,25,TC,M,6,N,F,2,2,N,Y,N
3.3,6,17,25,20,TC,SA,8,Y,A,2,2,N,Y,N
3.3,6,17,25,20,TC,SA,8,Y,R,2,2,N,Y,N
2,4,21,29,24,TC,SA,8,Y,A,2,2,N,Y,N
2,4,22,29,25,TC,SA,8,Y,R,2,2,N,Y,N
1.6,4,51,46,49,NAT,AM,6,N,F,2,2,N,Y,N
1.6,4,52,49,50,NAT,AM,6,N,F,2,2,N,Y,N
1.6,4,46,40,43,NAT,AM,6,N,F,2,2,N,Y,N
2,4,39,46,42,NAT,AM,6,N,F,2,2,N,Y,N
3.3,6,20,28,23,NAT,SA,8,Y,F,2,2,N,Y,N
2.4,4,23,32,26,NAT,SA,6,Y,F,2,2,N,Y,N
5,8,11,18,13,TC,A,7,Y,R,2,2,N,N,N
3.5,6,16,24,19,SC,M,6,N,R,2,2,N,Y,N
3.5,6,17,24,20,SC,SA,6,Y,R,2,2,N,Y,N
4.7,8,13,21,16,NAT,A,6,Y,R,2,2,N,Y,N
4.7,8,13,20,15,NAT,A,6,Y,R,2,2,N,Y,N
3.8,8,15,22,17,TC,A,8,Y,R,2,2,N,Y,N
3,6,16,23,18,TC,A,8,Y,A,2,2,N,Y,N
3,6,16,24,19,TC,A,8,Y,A,2,2,N,Y,N
3,6,17,24,19,TC,A,8,Y,R,2,2,N,Y,N
3,6,16,23,18,TC,A,8,Y,R,2,2,N,Y,N
3,6,16,24,19,TC,A,8,Y,R,2,2,N,Y,N
3,8,14,19,16,TC,A,8,Y,A,2,2,N,Y,N
3,8,14,20,16,TC,A,8,Y,A,2,2,N,Y,N
1.5,4,30,39,34,NAT,M,6,N,F,2,2,N,Y,N
1.5,4,32,40,35,NAT,SA,6,Y,F,2,2,N,Y,N
2,4,28,38,31,NAT,M,6,N,F,2,2,N,Y,N
2,4,28,37,31,NAT,SA,6,Y,F,2,2,N,Y,N
2,4,27,37,31,NAT,M,6,N,F,2,2,N,Y,N
2,4,28,37,32,NAT,SA,6,Y,F,2,2,N,Y,N
2.5,4,27,36,30,NAT,SA,6,Y,F,2,2,N,Y,N
2.5,4,26,35,30,NAT,SA,6,Y,F,2,2,N,Y,N
2,4,29,34,31,NAT,SA,6,Y,F,2,2,N,Y,N
2,4,27,32,29,NAT,SA,6,Y,4,2,2,N,Y,N
2.5,4,22,28,24,TC,SA,6,Y,F,2,2,N,Y,N
2.5,4,20,26,23,TC,SA,6,Y,4,2,2,N,Y,N
2,4,26,33,29,NAT,M,6,N,R,2,2,N,Y,N
2,4,26,35,29,NAT,SA,6,Y,R,2,2,N,Y,N
2.5,4,25,31,28,NAT,SA,6,Y,F,2,2,Y,Y,N
2.5,4,24,30,26,NAT,SA,6,Y,4,2,2,Y,Y,N
2.5,4,24,33,27,NAT,M,6,N,F,2,2,N,Y,N
2.5,4,26,35,29,NAT,SA,6,Y,F,2,2,Y,Y,N
2.5,4,23,31,26,TC,SA,6,Y,F,2,2,N,Y,N
2.2,4,28,31,29,TC,SA,6,Y,F,2,2,N,N,N
2.2,4,27,30,28,TC,SA,6,Y,4,2,2,N,N,N
2.5,4,25,34,29,NAT,M,6,N,F,2,2,N,Y,N
2.5,4,25,33,28,NAT,M,6,N,F,2,2,N,Y,N
3.8,8,16,23,19,TC,A,7,Y,R,2,2,N,Y,N
2,4,23,31,26,TC,AM,7,Y,4,2,2,N,Y,N
2,4,24,32,27,TC,AM,7,Y,4,2,2,N,Y,N
2,4,23,32,26,TC,A,9,Y,4,2,2,N,Y,N
4,8,18,24,20,TC,A,7,Y,R,2,2,N,Y,N
4,8,18,24,20,TC,A,7,Y,R,2,2,N,Y,N
2,4,22,28,24,TC,A,9,Y,R,2,2,N,Y,N
2,4,21,28,24,TC,A,9,Y,4,2,2,N,Y,N
2,4,24,33,27,TC,A,9,Y,R,2,2,N,Y,N
4,8,17,22,19,TC,A,7,Y,R,2,2,N,Y,N
4,8,17,22,19,TC,A,7,Y,R,2,2,N,Y,N
4,8,17,23,19,TC,A,7,Y,R,2,2,N,Y,N
4,8,17,23,19,TC,A,7,Y,R,2,2,N,Y,N
2,4,22,30,25,TC,A,9,Y,R,2,2,N,Y,N
2,4,22,30,25,TC,A,9,Y,4,2,2,N,Y,N
2,4,22,29,25,TC,A,9,Y,4,2,2,N,Y,N
2,4,22,29,25,TC,A,9,Y,R,2,2,N,Y,N
2,4,22,27,24,TC,A,9,Y,4,2,2,N,Y,N
3,6,20,26,22,TC,A,9,Y,R,2,2,N,Y,N
3,6,20,26,22,TC,A,9,Y,4,2,2,N,Y,N
3,6,20,26,22,TC,A,9,Y,R,2,2,N,Y,N
3,6,20,25,22,TC,A,9,Y,4,2,2,N,Y,N
4,8,16,22,18,TC,AM,7,Y,R,2,2,N,Y,N
4,8,16,22,18,TC,AM,7,Y,R,2,2,N,Y,N
4,8,15,20,17,TC,AM,7,Y,R,2,2,N,Y,N
4,8,15,20,17,TC,AM,7,Y,R,2,2,N,Y,N
4,8,17,27,21,TC,A,9,Y,F,2,2,Y,Y,N
6,12,13,21,16,TC,A,7,Y,R,2,1,N,Y,N
4,8,17,26,20,TC,A,9,Y,4,2,2,Y,Y,N
4,8,17,27,21,TC,A,9,Y,4,2,2,Y,Y,N
6,12,13,22,16,TC,A,7,Y,R,2,1,N,Y,N
2,4,23,30,26,TC,AM,7,Y,4,2,2,N,Y,N
2,4,24,32,27,TC,AM,7,Y,P,2,2,N,Y,N
4,8,17,27,21,TC,A,9,Y,4,2,2,Y,Y,N
4,8,17,27,20,TC,A,9,Y,4,2,2,Y,Y,N
6,12,13,21,16,TC,A,7,Y,R,2,1,N,Y,N
4.7,8,17,25,20,TC,A,9,Y,R,2,2,N,Y,N
3,6,20,28,23,TC,A,9,Y,R,2,2,N,Y,N
5.5,8,16,25,19,TC,A,7,Y,R,2,2,N,Y,N
6,12,13,22,16,TC,A,7,Y,R,2,1,N,Y,N
2,4,25,32,27,TC,A,9,Y,R,2,2,N,Y,N
4,8,16,21,18,TC,AM,7,Y,R,2,2,N,Y,N
4,8,15,20,17,TC,AM,7,Y,R,2,2,N,Y,N
6,12,14,21,16,TC,A,7,Y,R,2,1,N,Y,N
3,6,20,29,23,TC,A,9,Y,R,2,2,N,Y,N
2,4,24,37,29,TC,AM,7,Y,F,2,2,N,Y,N
2,4,22,28,25,TC,AM,7,Y,4,2,2,N,Y,N
3,6,17,23,19,TC,A,9,Y,4,2,2,N,Y,N
3,6,17,22,19,TC,A,9,Y,4,2,2,N,Y,N
5.5,8,14,18,15,TC,A,7,Y,4,2,2,N,Y,N
5.5,8,14,18,15,TC,A,7,Y,4,2,2,N,Y,N
3,6,20,27,23,TC,A,9,Y,4,2,2,N,Y,N
3,6,19,25,21,TC,A,9,Y,4,2,2,N,Y,N
3,6,18,24,20,TC,A,9,Y,4,2,2,N,Y,N
3,6,18,24,20,TC,A,9,Y,4,2,2,N,Y,N
3,6,20,27,23,TC,A,9,Y,4,2,2,N,Y,N
3,6,20,27,22,TC,A,9,Y,4,2,2,N,Y,N
3,6,19,26,22,TC,A,9,Y,4,2,2,N,Y,N
3,6,19,25,21,TC,A,9,Y,4,2,2,N,Y,N
4.7,8,18,26,21,TC,A,9,Y,R,2,2,N,Y,N
4.7,8,17,25,20,TC,A,9,Y,4,2,2,N,Y,N
4,8,17,26,20,TC,A,9,Y,F,2,2,Y,Y,N
4,8,15,24,18,TC,A,9,Y,4,2,2,Y,Y,N
4,8,16,25,19,TC,A,9,Y,4,2,2,Y,Y,N
5.5,8,16,22,18,TC,A,7,Y,4,2,2,N,Y,N
2,4,22,30,25,TC,A,9,Y,R,2,2,N,Y,N
2,4,21,29,24,TC,A,9,Y,4,2,2,N,Y,N
4,8,15,22,18,TC,A,9,Y,4,2,2,N,Y,N
4,8,16,22,18,TC,A,9,Y,4,2,2,N,Y,N
3.5,6,18,23,20,NAT,A,7,Y,R,2,2,N,Y,N
3.5,6,18,22,19,NAT,A,7,Y,4,2,2,N,Y,N
5.5,8,14,18,15,TC,A,7,Y,4,2,2,N,Y,N
2,4,19,23,21,TC,A,7,Y,R,2,2,N,Y,N
2,4,21,24,22,TC,A,7,Y,R,2,2,N,Y,N
2,4,21,24,22,TC,A,7,Y,R,2,2,N,Y,N
3,6,17,22,19,TC,A,9,Y,4,2,2,N,Y,N
4.7,8,14,19,16,TC,A,9,Y,4,2,2,N,Y,N
5.5,8,13,18,15,TC,A,7,Y,4,2,2,N,Y,N
4,8,13,14,13,TC,A,7,Y,4,2,2,N,Y,N
4,8,11,11,11,TC,A,7,Y,4,2,2,N,Y,N
5.5,8,12,15,13,TC,A,7,Y,4,2,2,N,Y,N
6,12,11,13,12,TC,A,7,Y,4,2,1,N,Y,N
2,4,23,31,26,TC,AM,7,Y,P,2,2,N,Y,N
2,4,24,33,27,TC,AM,7,Y,F,2,2,N,Y,N
4,8,16,22,18,TC,A,9,Y,4,2,2,N,Y,N
4,8,16,22,18,TC,A,9,Y,4,2,2,N,Y,N
4,8,16,22,18,TC,A,9,Y,4,2,2,N,Y,N
3,6,19,28,22,TC,A,9,Y,R,2,2,N,Y,N
3,6,18,28,22,TC,A,9,Y,4,2,2,N,Y,N
3.5,6,18,22,19,NAT,A,7,Y,4,2,2,N,Y,N
1.2,3,33,41,36,NAT,M,5,N,F,2,2,N,Y,N
1.2,3,37,43,39,NAT,CVT,1,Y,F,2,2,N,Y,N
1.2,3,33,40,35,NAT,M,5,N,F,2,2,N,Y,N
1.2,3,35,41,37,NAT,CVT,1,Y,F,2,2,N,Y,N
2.4,4,25,30,27,NAT,SCV,6,Y,F,2,2,N,Y,Y
2.4,4,24,29,26,NAT,SCV,6,Y,4,2,2,N,Y,Y
3,6,20,27,22,NAT,SA,6,Y,4,2,2,N,N,Y
2,4,23,29,25,NAT,M,5,N,F,2,2,N,Y,N
2,4,24,30,27,NAT,SCV,6,Y,F,2,2,N,Y,N
2,4,23,29,26,NAT,SCV,6,Y,4,2,2,N,Y,N
2.4,4,23,29,25,NAT,SCV,6,Y,F,2,2,N,Y,N
2.4,4,23,28,25,NAT,SCV,6,Y,4,2,2,N,Y,N
1.5,4,25,28,26,TC,SCV,8,Y,F,2,2,N,Y,N
1.5,4,25,26,25,TC,SCV,8,Y,4,2,2,N,Y,N
1.5,4,26,29,27,TC,SCV,8,Y,F,2,2,N,Y,N
1.5,4,25,28,26,TC,SCV,8,Y,4,2,2,N,Y,N
1.8,4,27,35,30,NAT,M,6,N,F,2,2,N,Y,N
1.8,4,29,37,32,NAT,CVT,1,Y,F,2,2,N,Y,N
2,4,23,26,24,NAT,CVT,1,Y,F,2,2,N,Y,N
2.5,4,26,37,30,NAT,SCV,7,Y,F,2,2,N,Y,N
2.5,4,27,38,31,NAT,CVT,1,Y,F,2,2,N,Y,N
3.5,6,22,32,26,NAT,SCV,7,Y,F,2,2,N,Y,N
3.5,6,21,28,24,NAT,SCV,7,Y,F,2,2,N,Y,N
3.5,6,21,28,24,NAT,SCV,7,Y,A,2,2,N,Y,N
3.5,6,21,30,25,NAT,SCV,7,Y,F,2,2,N,Y,N
3.7,6,19,26,22,NAT,SA,7,Y,R,2,2,N,Y,Y
3.7,6,18,26,21,NAT,M,6,N,R,2,2,N,Y,Y
3.7,6,18,25,21,NAT,SA,7,Y,R,2,2,N,Y,Y
3.7,6,17,24,20,NAT,M,6,N,R,2,2,N,Y,Y
3.8,6,16,22,18,TC,AM,6,Y,A,2,2,N,Y,N
2.5,4,26,33,29,NAT,CVT,1,Y,F,2,2,N,Y,N
2.5,4,25,32,27,NAT,CVT,1,Y,A,2,2,N,Y,N
2.5,4,17,22,19,NAT,A,5,Y,R,2,2,N,Y,N
2.5,4,19,23,21,NAT,M,5,N,R,2,2,N,Y,N
3.5,6,20,27,22,NAT,SCV,7,Y,F,2,2,N,Y,N
3.5,6,19,26,22,NAT,SCV,7,Y,A,2,2,N,Y,N
1.6,4,31,39,34,NAT,CVT,1,Y,F,2,2,N,Y,N
1.6,4,27,36,30,NAT,M,5,N,F,2,2,N,Y,N
1.6,4,26,35,29,NAT,A,4,Y,F,2,2,N,Y,N
1.6,4,31,36,33,NAT,CVT,1,Y,F,2,2,N,Y,N
5.6,8,16,24,19,NAT,SA,7,Y,R,2,2,N,Y,Y
5.6,8,16,23,18,NAT,SA,7,Y,A,2,2,N,Y,Y
1.6,4,26,32,28,TC,M,6,N,F,2,2,N,Y,N
1.6,4,25,31,27,TC,M,6,N,F,2,2,N,Y,N
1.6,4,27,33,29,TC,SCV,7,Y,F,2,2,N,Y,N
1.6,4,25,30,27,TC,SCV,7,Y,F,2,2,N,Y,N
3,6,20,29,23,TC,SA,7,Y,R,2,2,N,Y,N
3,6,19,27,22,TC,SA,7,Y,A,2,2,N,Y,N
3,6,20,26,22,TC,SA,7,Y,R,2,2,N,Y,N
3,6,19,26,22,TC,SA,7,Y,A,2,2,N,Y,N
3,6,19,28,22,TC,SA,7,Y,R,2,2,N,Y,N
3,6,20,27,22,TC,SA,7,Y,R,2,2,N,Y,N
3.5,6,28,33,30,NAT,SA,7,Y,R,2,2,N,Y,N
3.5,6,27,32,29,NAT,SA,7,Y,R,2,2,N,Y,N
3.5,6,26,30,28,NAT,SA,7,Y,A,2,2,N,Y,N
3.7,6,18,25,21,NAT,SA,7,Y,R,2,2,N,Y,Y
3.7,6,18,24,20,NAT,SA,7,Y,A,2,2,N,Y,Y
2,4,23,30,25,TC,SA,7,Y,R,2,2,N,Y,N
2,4,22,28,24,TC,SA,7,Y,A,2,2,N,Y,N
2,4,22,30,25,TC,SA,7,Y,R,2,2,N,Y,N
2,4,21,28,24,TC,SA,7,Y,A,2,2,N,Y,N
2,4,24,33,27,TC,AM,7,Y,F,2,2,N,Y,N
2,4,21,30,25,TC,AM,7,Y,A,2,2,N,Y,N
4,6,16,23,19,NAT,A,5,Y,R,2,2,N,Y,N
4,6,16,22,19,NAT,M,6,N,R,2,2,N,Y,N
4,6,15,21,17,NAT,A,5,Y,P,2,2,N,Y,N
4,6,16,21,18,NAT,M,6,N,P,2,2,N,Y,N
2,4,25,32,28,NAT,SCV,7,Y,F,2,2,N,Y,N
2,4,24,30,27,NAT,SCV,7,Y,A,2,2,N,Y,N
3,6,19,26,21,TC,SA,7,Y,A,2,2,N,Y,N
3,6,19,27,22,TC,SA,7,Y,A,2,2,N,Y,N
5.6,8,14,19,16,NAT,SA,7,Y,R,2,2,N,Y,Y
5.6,8,13,18,15,NAT,SA,7,Y,4,2,2,N,Y,Y
4,6,16,22,18,NAT,A,5,Y,R,2,2,N,Y,N
4,6,15,21,17,NAT,A,5,Y,P,2,2,N,Y,N
5.6,8,14,20,16,NAT,SA,7,Y,R,2,2,N,Y,Y
5.6,8,13,19,15,NAT,SA,7,Y,4,2,2,N,Y,Y
5.6,8,15,21,18,NAT,SA,7,Y,R,2,2,N,Y,Y
5.6,8,15,21,18,NAT,SA,7,Y,P,2,2,N,Y,Y
5.6,8,15,20,17,NAT,SA,7,Y,P,2,2,N,Y,Y
3.5,6,20,27,23,NAT,CVT,1,Y,F,2,2,N,Y,N
3.5,6,19,26,22,NAT,CVT,1,Y,4,2,2,N,Y,N
3.5,6,19,26,21,NAT,CVT,1,Y,4,2,2,N,Y,N
2,4,24,26,25,NAT,CVT,1,Y,F,2,2,N,Y,N
2,4,24,26,25,NAT,CVT,1,Y,F,2,2,N,Y,N
2,4,33,35,34,NAT,SCV,7,Y,F,2,2,N,Y,N
2,4,31,34,33,NAT,SCV,7,Y,A,2,2,N,Y,N
6,12,11,17,13,TC,AM,7,N,R,2,1,N,N,N
3,6,20,29,23,TC,M,7,N,R,2,2,N,Y,Y
3,6,22,30,25,TC,AMS,7,N,R,2,2,N,Y,Y
3,6,20,29,23,TC,M,7,N,R,2,2,N,Y,Y
3,6,22,28,24,TC,AMS,7,N,R,2,2,N,Y,Y
3,6,20,29,23,TC,M,7,N,R,2,2,N,Y,Y
3,6,22,28,24,TC,AMS,7,N,R,2,2,N,Y,Y
3,6,20,28,23,TC,M,7,N,R,2,2,N,Y,Y
3,6,22,28,24,TC,AMS,7,N,R,2,2,N,Y,Y
3,6,20,28,23,TC,M,7,N,4,2,2,N,Y,Y
3,6,22,28,24,TC,AMS,7,N,4,2,2,N,Y,Y
3,6,19,28,22,TC,M,7,N,4,2,2,N,Y,Y
3,6,21,28,24,TC,AMS,7,N,4,2,2,N,Y,Y
3,6,20,28,23,TC,M,7,N,4,2,2,N,Y,Y
3,6,21,28,24,TC,AMS,7,N,4,2,2,N,Y,Y
3,6,19,28,22,TC,M,7,N,4,2,2,N,Y,Y
3,6,21,28,24,TC,AMS,7,N,4,2,2,N,Y,Y
3,6,19,28,22,TC,M,7,N,4,2,2,N,Y,Y
3,6,22,28,24,TC,AMS,7,N,4,2,2,N,Y,Y
3,6,19,28,22,TC,M,7,N,4,2,2,N,Y,Y
3,6,21,27,24,TC,AMS,7,N,4,2,2,N,Y,Y
3,6,18,26,21,TC,M,7,N,R,2,2,N,Y,Y
3,6,20,26,23,TC,AMS,7,N,R,2,2,N,Y,Y
3,6,18,26,21,TC,M,7,N,R,2,2,N,Y,Y
3,6,20,26,22,TC,AMS,7,N,R,2,2,N,Y,Y
3,6,18,26,21,TC,M,7,N,4,2,2,N,Y,Y
3,6,20,26,22,TC,AMS,7,N,4,2,2,N,Y,Y
3,6,18,26,21,TC,M,7,N,4,2,2,N,Y,Y
3,6,20,25,22,TC,AMS,7,N,4,2,2,N,Y,Y
3,6,18,26,21,TC,M,7,N,4,2,2,N,Y,Y
3,6,20,26,22,TC,AMS,7,N,4,2,2,N,Y,Y
4,6,13,21,16,NAT,M,6,N,R,2,2,N,Y,Y
4,6,15,20,17,NAT,AMS,7,N,R,2,2,N,Y,Y
4,6,14,21,17,NAT,M,6,N,R,2,2,N,Y,Y
3,6,16,25,19,TC,M,7,N,R,2,2,N,Y,Y
3,6,20,26,22,TC,AMS,7,N,R,2,2,N,Y,Y
3.8,6,15,21,17,TC,AMS,7,N,R,2,2,N,Y,Y
2,4,21,28,24,TC,M,6,N,R,2,2,N,Y,Y
2,4,22,29,25,TC,AMS,7,N,R,2,2,N,Y,Y
2,4,21,28,24,TC,M,6,N,R,2,2,N,Y,Y
2,4,22,29,25,TC,AMS,7,N,R,2,2,N,Y,Y
2.5,4,20,26,22,TC,M,6,N,R,2,2,N,Y,Y
2.5,4,21,28,24,TC,AMS,7,N,R,2,2,N,Y,Y
2.5,4,19,25,21,TC,M,6,N,R,2,2,N,Y,Y
2.5,4,20,26,22,TC,AMS,7,N,R,2,2,N,Y,Y
2.5,4,20,26,22,TC,M,6,N,R,2,2,N,Y,Y
2.5,4,21,28,24,TC,AMS,7,N,R,2,2,N,Y,Y
2.5,4,19,25,21,TC,M,6,N,R,2,2,N,Y,Y
2.5,4,20,26,22,TC,AMS,7,N,R,2,2,N,Y,Y
2,4,20,25,22,TC,AMS,7,N,A,2,2,N,Y,Y
3,6,17,23,19,TC,AMS,7,N,A,2,2,N,Y,Y
3,6,17,23,19,TC,AMS,7,N,A,2,2,N,Y,Y
3.6,6,17,23,19,TC,AMS,7,N,A,2,2,N,Y,Y
3.6,6,17,23,19,TC,AMS,7,N,A,2,2,N,Y,Y
3.6,6,18,24,20,NAT,SA,8,Y,A,2,2,N,Y,Y
3.6,6,17,23,19,NAT,SA,8,Y,A,2,2,N,Y,Y
3.6,6,17,24,20,TC,SA,8,Y,A,2,2,N,Y,Y
3.6,6,16,23,19,TC,SA,8,Y,A,2,2,N,Y,Y
4.8,8,14,21,17,TC,SA,8,Y,A,2,2,N,Y,Y
4.8,8,14,21,17,TC,SA,8,Y,A,2,2,N,Y,Y
3.8,6,19,24,21,TC,AMS,7,N,A,2,2,N,Y,Y
3.8,6,19,24,21,TC,AMS,7,N,A,2,2,N,Y,Y
3.8,6,19,24,21,TC,AMS,7,N,A,2,2,N,Y,Y
3.8,6,19,24,21,TC,AMS,7,N,A,2,2,N,Y,Y
3.8,6,17,23,19,TC,AMS,7,N,A,2,2,N,Y,Y
3,6,21,28,24,TC,AMS,8,N,R,2,2,N,Y,Y
3,6,21,27,23,TC,AMS,8,N,4,2,2,N,Y,Y
3,6,21,27,23,TC,AMS,8,N,4,2,2,N,Y,Y
3,6,20,26,23,TC,AMS,8,N,4,2,2,N,Y,Y
2.9,6,21,28,23,TC,AMS,8,N,4,2,2,N,Y,Y
2.9,6,21,28,23,TC,AMS,8,N,4,2,2,N,Y,Y
2.9,6,20,26,22,TC,AMS,8,N,4,2,2,N,Y,Y
4,8,18,25,21,TC,AMS,8,N,A,2,2,N,Y,Y
4,8,18,25,21,TC,AMS,8,N,A,2,2,N,Y,Y
4,8,18,23,20,TC,AMS,8,N,A,2,2,N,Y,Y
6.7,12,12,19,14,TC,SA,8,Y,R,2,2,N,Y,Y
6.7,12,12,19,14,TC,SA,8,Y,R,2,2,N,Y,Y
6.6,12,12,18,14,TC,SA,8,Y,R,2,2,N,Y,Y
6.6,12,12,18,14,TC,SA,8,Y,R,2,2,N,Y,Y
6.6,12,12,19,14,TC,SA,8,Y,R,2,2,N,Y,Y
6.6,12,12,18,14,TC,SA,8,Y,R,2,2,N,Y,Y
5,8,11,15,12,SC,SA,10,Y,4,2,2,N,Y,N
5,8,11,15,12,SC,SA,10,Y,R,2,2,N,Y,N
3.8,6,16,20,18,TC,M,7,N,R,2,2,N,Y,Y
2,4,21,29,24,NAT,M,6,N,R,2,2,N,Y,N
2,4,24,33,27,NAT,SA,6,Y,R,2,2,N,Y,N
2,4,24,32,27,NAT,M,5,N,A,2,2,N,Y,N
2,4,24,31,26,NAT,M,5,N,A,2,2,N,Y,N
2,4,28,38,32,NAT,SCV,7,Y,A,2,2,N,Y,N
2,4,28,37,31,NAT,SCV,7,Y,A,2,2,N,Y,N
2.5,4,25,34,29,NAT,SCV,7,Y,A,2,2,N,Y,N
3.6,6,20,28,23,NAT,SCV,6,Y,A,2,2,N,Y,N
2,4,23,29,25,NAT,M,6,N,A,2,2,N,Y,N
